"","tractid","mhmval00","mhmval12","hinc00","hu00","vac00","own00","rent00","h30old00","empclf00","clf00","unemp00","prof00","dpov00","npov00","ag25up00","hs00","col00","pop00.x","nhwht00","nhblk00","hisp00","asian00","cbsa","cbsaname","mar00","ag15up00","ag18cv00","wds00","p.white","p.black","p.hisp","p.asian","p.hs","p.col","p.prof","p.unemp","p.vacant","pov.rate","p.mar","mhv.00","mhv.10","mhv.change","mhv.growth"
"1","6073000100",592020.1989,948200,84033.73662,1369.200349,58.51855266,1122.601861,188.079936,1242.894409,1430.825209,1466.680366,35.85515702,999.8209143,3019.996118,152.9755704,2332.98559,346.0042939,1570.258306,3045.588166,2699.892468,13.20085883,231.7845247,59.14627433,"41740","San Diego-Carlsbad-San Marcos, CA",1576.994481,2558.441175,2445.177351,390.6327314,88.6492959928319,0.433442018765711,7.61050122559479,1.94203126313303,82.1377812239295,67.3068154698718,69.8772224595324,2.44464696270435,4.27392183348034,5.06542274965931,61.6388798151671,762847.627292595,948200,185352.372707405,24.2974305845631
"2","6073000201",341999.9965,758900,48779.99882,964.8807983,37.20988083,396.4283447,531.2426147,684.3755493,1063.916382,1077.655396,13.73903275,576.1806641,1682.172822,110.198494,1415.120361,278.7878723,753.6431885,1712.799416,1399.377686,36.06496048,184.6182556,62.11187744,"41740","San Diego-Carlsbad-San Marcos, CA",592.7820435,1539.916626,1502.99292,386.124054,81.7012005566915,2.10561494493177,10.7787434929859,3.62633691136195,72.9571200622418,53.2564726838808,54.1565741300898,1.27490038104908,3.85642256489705,6.55096150400176,38.4944245351631,440684.095490075,758900,318215.904509925,72.2095278151675
"3","6073000202",342000.0014,587900,48779.99919,2406.119141,92.79012299,988.5716553,1324.757446,1706.62439,2653.08374,2687.344727,34.26096725,1436.819336,4194.827178,274.8015137,3528.879639,695.2120972,1879.356812,4271.200584,3489.622314,89.93503571,460.3817444,154.8881226,"41740","San Diego-Carlsbad-San Marcos, CA",1478.218018,3840.083496,3748.00708,962.8759155,81.7012042719837,2.1056148954207,10.7787432443374,3.62633689413262,72.9571187621908,53.2564724290955,54.1565769047305,1.27490034701454,3.856422627162,6.55096150661967,38.4944238722876,440684.10180397,587900,147215.89819603,33.4062194650072
"4","6073000300",277500,473600,37444,2928,145,709,2074,1710,2725,2875,150,1554,4344,534,3822,759,1769,4446,3593,116,447,218,"41740","San Diego-Carlsbad-San Marcos, CA",1018,4217,4141,1017,80.8142150247413,2.60908681961314,10.0539811066127,4.90328385065227,66.1433804290947,46.2846677132391,57.0275229357798,5.21739130434783,4.95218579234973,12.292817679558,24.140384159355,357572.625,473600,116027.375,32.4486179555831
"5","6073000400",236400,364100,36717,2213,77,229,1907,1118,2464,2634,170,1319,3344,585,2986,529,1486,3466,2545,178,419,265,"41740","San Diego-Carlsbad-San Marcos, CA",675,3447,3315,784,73.4275822273514,5.13560300057703,12.0888632429313,7.64570109636469,67.4815807099799,49.7655726724715,53.5308441558442,6.4540622627183,3.4794396746498,17.494019138756,19.5822454308094,304613.22,364100,59486.78,19.5286271554465
"6","6073000500",296400,679900,42711,1729,67,559,1103,1206,1948,1987,39,1108,2756,297,2380,490,1167,2756,2113,101,360,139,"41740","San Diego-Carlsbad-San Marcos, CA",775,2561,2528,559,76.6690856313498,3.66473149492017,13.0624092888244,5.04354136429608,69.6218487394958,49.0336134453782,56.8788501026694,1.9627579265224,3.87507229612493,10.7764876632801,30.2616165560328,381926.22,679900,297973.78,78.0186759631219
"7","6073000600",191400,396500,36088,1922,78,554,1290,1023,1902,1983,81,1058,2956,416,2469,403,1246,2963,2240,98,414,162,"41740","San Diego-Carlsbad-San Marcos, CA",532,2779,2695,665,75.5990550118124,3.30745865676679,13.9723253459332,5.46743165710429,66.7881733495342,50.465775617659,55.6256572029443,4.08472012102874,4.0582726326743,14.0730717185386,19.1435768261965,246628.47,396500,149871.53,60.7681384067297
"8","6073000700",242399.7928,470300,35128.6331,2343.046746,52.00182953,519.0037337,1772.041183,1529.032484,2092.026995,2210.028638,118.0016428,1222.009558,3283.065116,356.0166525,2898.055782,613.0235972,1347.014674,3414.065938,2666.041669,93.00481653,406.0109025,174.0067207,"41740","San Diego-Carlsbad-San Marcos, CA",625.0153083,3146.062727,3117.061756,862.0232612,78.0899290586578,2.7241657958277,11.8922982119627,5.09675922668134,67.6328690211526,46.4799429454184,58.4127050425561,5.33937166111962,2.21941067197129,10.8440326317305,19.8665876219193,312344.25301244,470300,157955.74698756,50.5710431564332
"9","6073000800",185900,426100,35771,2582,116,711,1755,1322,2538,2650,112,1248,4329,550,3536,745,1406,4218,2841,299,699,292,"41740","San Diego-Carlsbad-San Marcos, CA",1112,4017,3848,1064,67.3541963015647,7.0886676149834,16.5718349928876,6.92271218587008,60.8314479638009,39.762443438914,49.1725768321513,4.22641509433962,4.49264136328428,12.7050127050127,27.6823500124471,239541.445,426100,186558.555,77.881535280878
"10","6073000900",133000,321700,24494,3118,85,312,2721,1763,3029,3281,252,1065,5572,1100,4046,1526,982,5594,2692,779,1584,425,"41740","San Diego-Carlsbad-San Marcos, CA",1118,4776,4593,1271,48.1229889166965,13.9256346085091,28.3160529138363,7.59742581337147,61.9871478002966,24.270884824518,35.160118851106,7.68058518744285,2.72610647851187,19.7415649676956,23.4087102177554,171377.15,321700,150322.85,87.7146399038611
