"MedianHomeValue2000"	"MedianHomeValue2010"	"MHV.Change.00.to.10"	"MHV.Growth.00.to.12"
762847.627292595	948200	185352.372707405	24.2974305845631
440684.095490075	758900	318215.904509925	72.2095278151675
440684.10180397	587900	147215.89819603	33.4062194650072
357572.625	473600	116027.375	32.4486179555831
304613.22	364100	59486.78	19.5286271554465
381926.22	679900	297973.78	78.0186759631219
246628.47	396500	149871.53	60.7681384067297
312344.25301244	470300	157955.74698756	50.5710431564332
239541.445	426100	186558.555	77.881535280878
171377.15	321700	150322.85	87.7146399038611
222661.44	360600	137938.56	61.9499092433786
191607.385	315600	123992.615	64.7118142132152
176789.06	252700	75910.94	42.9387089902509
175629.365	218800	43170.635	24.5805335571304
275363.135	539100	263736.865	95.7778407774156
239154.88	446700	207545.12	86.7827242329322
143029.05	249600	106570.95	74.5100033874237
172536.845	312800	140263.155	81.2946098556514
160682.185	295300	134617.815	83.7789298172663
287733.215	509900	222166.785	77.2127698222119
490550.985	762400	271849.015	55.4170765756387
369813.85	552400	182586.15	49.3724477869068
204621.74	435600	230978.26	112.88060594148
133880.345	315200	181319.655	135.434110959305
125118.205	208800	83681.795	66.8821895262964
264152.75	311800	47647.25	18.0377641345774
120865.99	154100	33234.01	27.4965769940742
178335.321159695	232000	53664.678840305	30.092007848658
139034.545	346600	207565.455	149.290563003605
156305.415277915	286700	130394.584722085	83.4229476248408
176273.636263205	328800	152526.363736795	86.5281768562648
144059.88561893	247700	103640.11438107	71.9423828054541
138008.84012946	280900	142891.15987054	103.537686235534
211837.62	315600	103762.38	48.9820363351892
161068.75	273900	112831.25	70.0516083970354
178593.03	278700	100106.97	56.0531225658695
127824.16	211400	83575.84	65.383445508267
134782.33	155400	20617.67	15.2970125980164
159651.345	308500	148848.655	93.2335740735538
178850.74	296600	117749.26	65.8366076651402
156558.82603084	257600	101041.17396916	64.5387912842782
156558.82835023	266500	109941.17164977	70.2235529023161
348681.63	591900	243218.37	69.7537091357523
231810.145	351800	119989.855	51.7621241296407
282063.595	451200	169136.405	59.9639258657254
254612.590854735	380200	125587.409145265	49.3249013034539
204492.885	318100	113607.115	55.5555343649242
249205.57	395800	146594.43	58.824700427041
226673.83033171	359400	132726.16966829	58.5538125305692
188128.3	278800	90671.7	48.1967359509441
201400.365	325500	124099.635	61.618376411582
159393.635	253500	94106.365	59.0402276728302
168800.05	242600	73799.95	43.7203365757297
182845.245	292300	109454.755	59.8619641435029
163903.56	259500	95596.44	58.3248100285314
190189.98	270500	80310.02	42.2262098139976
177175.625	274300	97124.375	54.8181359597292
226724.998007935	333200	106475.001992065	46.962180142279
192251.66	271000	78748.34	40.9610715454941
186453.185	232900	46446.815	24.9107115011202
208783.63511859	289000	80216.36488141	38.4208105371126
224336.555	342100	117763.445	52.494095311395
199725.25	282900	83174.75	41.6445842476102
202293.30231732	319300	117006.69768268	57.8401243849101
186710.895	282200	95489.105	51.1427600408642
273945.73	370400	96454.27	35.2092620680746
366334.765	501700	135365.235	36.9512391214085
183231.81	245700	62468.19	34.0924373338887
186839.75	198700	11860.25	6.34781945490721
201786.93	302100	100313.07	49.712372352362
209904.795	307400	97495.205	46.4473453310107
234902.665	346900	111997.335	47.6781883253645
199596.388943815	254700	55103.611056185	27.6075190276595
141869.355	237700	95830.645	67.5485167321723
122154.54	232400	110245.46	90.2508085250045
168026.92051542	27500	-140526.92051542	-83.6335749559391
168087.81893468	274700	106612.18106532	63.4264765531583
165965.24	283600	117634.76	70.879155177313
153724.015	244800	91075.985	59.2464261358253
162099.59	227000	64900.41	40.0373683856943
148698.67	254500	105801.33	71.1514971855498
135684.315	263400	127715.685	94.1270809378372
146636.99	228500	81863.01	55.8269847192035
165707.53	334200	168492.47	101.680635756263
145735.005	318600	172864.995	118.615973561053
171127.970143721	225209.682896467	54081.7127527462	31.6030820136101
163001.575	208600	45598.425	27.9742235619502
125633.625	298000	172366.375	137.197645136802
147925.54	232200	84274.46	56.9708652069142
188338.253888755	313300	124961.746111245	66.349636110068
262264.825169025	519200	256935.174830975	97.9678363903298
323039.485	658000	334960.515	103.690270246685
290501.393692935	581100	290598.606307065	100.033463734165
207585.405	590100	382514.595	184.268539977558
350099.035	387800	37700.965	10.7686572172357
181298.985	346800	165501.015	91.2862336212197
126277.9	323200	196922.1	155.943439034067
144317.6	298100	153782.4	106.558313053986
196761.585	218200	21438.415	10.8956303640266
177175.625	373100	195924.375	110.582014314892
NA	295600	295600	NA
521605.04	757600	235994.96	45.2439953417628
405377.83	602400	197022.17	48.6021078163056
275234.269305035	225209.682896467	-50024.5864085682	-18.175275388083
275234.274716945	421600	146365.725283055	53.1785968275861
176402.495	356500	180097.505	102.094647244077
357572.625	376400	18827.375	5.2653289663883
313375.36	370300	56924.64	18.1650018686855
453827.31	618000	164172.69	36.1751455636286
404218.135	791700	387481.865	95.8595944736621
38269.935	225209.682896467	186939.747896467	NA
171127.970143721	225209.682896467	54081.7127527462	31.6030820136101
274709.00156166	342300	67590.99843834	24.604580867063
177175.62706168	225209.682896467	48034.0558347869	27.1109839606013
210549.07	324600	114050.93	54.1683371007053
185808.89531053	357800	171991.10468947	92.5634396577369
478180.905	750300	272119.095	56.90714375138
535996.25293944	785600	249603.74706056	46.5681888057456
733829.225	978000	244170.775	33.2735146927407
607035.905	899400	292364.095	48.1625703837074
383859.045	551200	167340.955	43.5943758991012
497895.72	827300	329404.28	66.1592913471921
302809.25	492500	189690.75	62.6436444725516
309123.145	561200	252076.855	81.5457719932294
421613.56	585500	163886.44	38.8712450330108
388368.978633285	787300	398931.021366715	102.719589698075
449575.112137715	676500	226924.887862285	50.4754115020435
449575.07773343	752500	302924.92226657	67.3802746793241
407310.652036335	727800	320489.347963665	78.6842539868255
241603.120490075	276600	34996.879509925	14.4852762824157
388497.82345374	677600	289102.17654626	74.4153915654265
361567.131159695	491000	129432.868840305	35.7977420196245
361567.13051542	428600	67032.8694845799	18.5395363204126
388497.815593585	657400	268902.184406415	69.2158806596016
515141.696007335	786800	271658.303992665	52.7346759344436
488618.15536122	775300	286681.84463878	58.6719591757382
488618.145439385	773000	284381.854560615	58.2012471732681
843484.83	1000001	156516.17	18.5558962571976
819775.51	1000001	180225.49	21.984737016601
695172.725	972800	277627.275	39.9364452913483
616828.9056168	839900	223071.0943832	36.1641765410036
1170132.255	1000001	-170131.255	-14.5394893844713
306546.045	432900	126353.955	41.2185892008491
458852.655	678500	219647.345	47.8688185862191
438107	630000	191893	43.8004870956182
817584.975	1000001	182416.025	22.3115676752744
1119492.24	1000001	-119491.24	-10.673699712291
994896.882588765	1000001	5104.11741123488	0.513029792389513
736148.615	982800	246651.385	33.5056508936039
714173.451232145	1000001	285827.548767855	40.0221470393115
503694.195	804600	300905.805	59.7397802053287
1035916.52517516	1000001	-35915.5251751601	-3.46702888720568
304484.365	429800	125315.635	41.1566731841879
546345.2	781800	235454.8	43.0963427517987
492870.375	710500	217629.625	44.1555500267185
696847.84	945800	248952.16	35.7254691354141
404353.36213746	676400	272046.63786254	67.2794301559579
372133.24	604900	232766.76	62.5493062646056
358474.6228855	552400	193925.3771145	54.097379489103
251653.815	380700	129046.185	51.2792484389716
427807.692395365	611000	183192.307604635	42.8211813067015
316854.445	362500	45645.555	14.4058433518267
236320.07	372200	135879.93	57.4982607274956
435014.474974655	618700	183685.525025345	42.2251524012039
438880.13	597300	158419.87	36.0963869565022
428442.875	614400	185957.125	43.4030149293532
279615.35	413600	133984.65	47.91748736255
271755.195	421800	150044.805	55.213224166699
252813.51	391200	138386.49	54.7385659888192
277553.67	425200	147646.33	53.1955963688032
249334.425	369500	120165.575	48.1945383193676
249978.7	354100	104121.3	41.652068756258
279744.205	419800	140055.795	50.0656644522806
330255.365	463000	132744.635	40.1945430924339
301778.41	447200	145421.59	48.1882020652173
203848.61	299300	95451.39	46.8246459958692
232583.275	319800	87216.725	37.4991387493361
205523.725	324700	119176.275	57.9866266047873
73962.77	112800	38837.23	52.5091610279063
215574.415	288300	72725.585	33.7357218387906
312602.230386565	364700	52097.769613435	16.6658342613265
312602.22046473	469500	156897.77953527	50.1908717417355
278455.65164977	276500	-1955.65164977004	-0.702320688477091
278455.66092733	391600	113144.33907267	40.6328026142007
454729.305952675	698500	243770.694047325	53.6078697493702
453155.74943833	628300	175144.25056167	38.6499014475166
288892.91	439600	150707.09	52.1671127200733
282192.45	440900	158707.55	56.2408916326429
305644.484577225	495000	189355.515422775	61.9528651677442
288119.78	471100	182980.22	63.5083852972538
255004.045	407500	152495.955	59.8013866799642
253715.495	404500	150784.505	59.4305464078968
270337.79	443100	172762.21	63.9060524982467
263121.91	412400	149278.09	56.7334320429644
245597.63	354600	109002.37	44.3825007594739
48167.032571726	197700	149532.967428274	NA
286960.085	438100	151139.915	52.6693163615421
293660.545	489500	195839.455	66.6890593014461
154497.145	284500	130002.855	84.1457976456458
230263.885	320600	90336.115	39.2315603465129
234906.714783795	362100	127193.285216205	54.1462960449095
235675.795	362800	127124.205	53.9402890313789
208358.535	320300	111941.465	53.7254041453114
193024.794509925	299800	106775.205490075	55.3168341720912
300082.44935352	442100	142017.55064648	47.3261768398766
400352.485	612600	212247.515	53.0151611273251
210549.07	409900	199350.93	94.6814583412788
388345.09806499	578400	190054.90193501	48.9396938140839
374281.322818265	598300	224018.677181735	59.8530205821969
293304.413875885	585500	292195.586124115	99.6219532678975
210162.505	346900	136737.495	65.0627451361983
255871.42805143	366600	110728.57194857	43.2750826428004
277811.38	441600	163788.62	58.9567713172873
252818.30134432	367900	115081.69865568	45.5195284691622
184520.36	299100	114579.64	62.0959334785603
278584.510644275	445800	167215.489355725	60.0232543327733
278584.51412336	462800	184215.48587664	66.1255297898818
209389.37912336	1000001	790611.62087664	NA
314792.773375575	503100	188307.226624425	59.8194248886896
623350.43988319	918700	295349.56011681	47.3809820639825
376622.77781961	565400	188777.22218039	50.1236869616017
278842.22	407000	128157.78	45.9606798425288
364401.94	542100	177698.06	48.7643013097021
359763.16	512600	152836.84	42.4826266258057
203590.899098015	225209.682896467	21618.7837984518	10.6187378189454
203590.900901985	225209.682896467	21618.7819944818	10.6187368387793
251396.105	386900	135503.895	53.9005546645203
137745.995	225400	87654.005	63.6345216425349
276136.265	391000	114863.735	41.5967583975252
265956.72	423200	157243.28	59.1236348530693
310927.115	470700	159772.885	51.3859606615524
357314.915	539900	182585.085	51.0992061442495
418936.828154305	615300	196363.171845695	46.8717855889646
286116.96302568	483000	196883.03697432	68.8120812175156
250099.62758269	388500	138400.37241731	55.3380961639181
283996.41149557	429900	145903.58850443	51.3751521493101
296450.67272478	436300	139849.32727522	47.1745690403792
NA	225209.682896467	225209.682896467	NA
213512.735	291400	77887.265	36.4789786426557
